盖浇饭	盖饭
羊肉汤	羊汤
奶盖茶	奶茶
葱油拌面	葱油面
葱油拌面	葱拌面
西红柿炒鸡蛋	西红柿鸡蛋
西红柿炒鸡蛋	西红柿炒蛋
羊杂汤	羊汤
烤肉拌饭	烤肉饭
烤肉拌饭	烤拌饭
酸菜黑鱼	酸菜鱼
牛肉粉丝汤	牛肉粉汤
牛肉粉丝汤	牛粉丝汤
片皮烤鸭	片皮鸭
片皮烤鸭	片烤鸭
北京片皮烤鸭	北京皮烤鸭
章鱼小丸子	章鱼丸子
炒河粉	炒粉
豆腐花	豆花
牛肉拉面	牛肉面
牛肉拉面	牛拉面
酸菜龙利鱼	酸菜龙鱼
炒米粉	炒粉
炒鸡蛋	炒蛋
小笼汤包	小笼包
小笼汤包	小汤包
水煮活鱼	水煮鱼
韭菜炒鸡蛋	韭菜鸡蛋
韭菜炒鸡蛋	韭菜炒蛋
脆皮鸡米饭	脆皮鸡饭
脆皮鸡米饭	脆皮米饭
脆皮鸡米饭	脆鸡米饭
蜜汁手扒鸡	蜜汁扒鸡
荷叶蒸饭	荷叶饭
片皮烤鸭半只	片皮鸭半只
皮蛋瘦肉粥	皮蛋瘦粥
皮蛋瘦肉粥	皮蛋肉粥
水煮黑鱼	水煮鱼
炒刀削面	炒削面
珍珠奶盖茶	珍珠奶茶
石锅拌饭	石锅饭
石锅拌饭	石拌饭
红心火龙果	红火龙果
水煮龙利鱼	水煮龙鱼
炸全鸡	炸鸡
梅干菜肉包	梅干菜包
梅干菜肉包	梅菜肉包
牛肉炒拉面	牛肉拉面
牛肉炒拉面	牛肉炒面
酸菜草鱼	酸菜鱼
羊肉米粉	羊肉粉
榴莲千层蛋糕	榴莲千层糕
奶盖抹茶	奶盖茶
炒拉面	炒面
酒酿小圆子	酒酿圆子
猪杂汤河粉	猪杂汤粉
猪杂汤河粉	猪杂河粉
水煮草鱼	水煮鱼
酸辣笋尖米粉	酸辣笋尖粉
酸辣笋尖米粉	酸辣笋米粉
酸辣笋尖米粉	酸笋尖米粉
卤肉粉	卤粉
脆皮全鸡	脆皮鸡
番茄炒鸡蛋	番茄炒蛋
番茄炒鸡蛋	番茄鸡蛋
番茄炒鸡蛋	番炒鸡蛋
酸菜鲈鱼	酸菜鱼
酸菜小鱼	酸菜鱼
牛肉炒刀削面	牛肉刀削面
水煮牛肉	水煮肉
香香炸鸡	香香鸡
鸡腿排	鸡排
土豆烧牛肉	土豆牛肉
土豆烧牛肉	土豆烧肉
土豆烧牛肉	土烧牛肉
老鸭粉丝汤	老鸭粉汤
小龙虾加饭	小龙虾饭
鸡蛋汤面	鸡蛋面
鸡蛋汤面	鸡汤面
菠萝炒饭	菠萝饭
奶盖红茶	奶盖茶
酱香骨头饭	酱骨头饭
酱香骨头饭	酱香骨饭
牛油果梨汁	牛油果汁
芝士焗饭	芝士饭
羊肉筋串	羊肉串
意式肉酱面	意肉酱面
鱼片粉	鱼粉
脆皮炸鸡	脆皮鸡
鱼头粉	鱼粉
花甲米粉	花甲粉
掉渣烧饼	掉渣饼
爆浆大鸡排	爆浆鸡排
抹茶奶盖茶	抹茶奶茶
烤牛肉	烤肉
锅烧卤肉粉	锅烧卤粉
杂粮煎饼	杂粮饼
杂粮煎饼	杂煎饼
酸奶水果捞	酸奶果捞
炒泡面	炒面
卤肉盖饭	卤肉饭
白米粥	白粥
红糖暖姜茶	红糖姜茶
姜撞奶	姜奶
鱼丸粉	鱼粉
龙虾盖浇饭	龙虾盖饭
炒方便面	炒便面
鲜肉大包	鲜肉包
卤肉拌饭	卤肉饭
西红柿鸡蛋汤面	西红柿鸡蛋面
西红柿鸡蛋汤面	西红柿蛋汤面
牛肉汤面	牛肉面
酱香饼	酱饼
柠檬红茶	柠檬茶
冰糖炖雪梨	冰糖雪梨
冰糖炖雪梨	冰糖炖梨
猪杂汤米粉	猪杂汤粉
猪杂汤米粉	猪杂米粉
鸡蛋汉堡	鸡蛋堡
鳗鱼盖饭	鳗鱼饭
紫菜蛋花汤	紫菜蛋汤
芋薯圆	芋圆
小米红枣粥	小米枣粥
猪脚拼烧鸭饭	猪脚烧鸭饭
排骨条年糕	排骨年糕
鸡蛋炒刀削面	鸡蛋刀削面
奶盖绿茶	奶盖茶
酸辣米粉	酸辣粉
鱼头豆腐汤	鱼豆腐汤
小炒黄牛肉	小炒牛肉
小炒黄牛肉	小黄牛肉
灌汤小笼包	灌汤笼包
油泼扯面	油泼面
炸子鸡	炸鸡
干锅香辣虾	干锅香虾
羊肚汤	羊汤
骨头汤	骨汤
酸辣土豆粉	酸土豆粉
脆皮炸全鸡	脆皮全鸡
脆皮炸全鸡	脆皮炸鸡
牛肉炒面	牛肉面
脆皮鸡拌饭	脆皮鸡饭
脆皮鸡拌饭	脆皮拌饭
豆汤冒饭	豆汤饭
梅干菜扣肉饼	梅菜扣肉饼
梅干菜扣肉饼	梅干菜肉饼
火鸡拌面	火鸡面
酸牛奶	酸奶
炒在饭	炒饭
手撕烤兔	手撕兔
菠萝海鲜炒饭	菠萝海鲜饭
牛肉板面	牛肉面
牛肉板面	牛板面
咖喱牛肉盖饭	咖喱牛肉饭
牛奶红茶	牛奶茶
烤五花肉	烤花肉
肉丁包	肉包
筒子骨粉	筒骨粉
筒子骨粉	筒子粉
瘦肉青菜粥	瘦肉菜粥
蛋花汤	蛋汤
冒烤鸭	冒鸭
鱼头渔粉	鱼头粉
西红柿炒鸡蛋盖饭	西红柿鸡蛋盖饭
西红柿炒鸡蛋盖饭	西红柿炒蛋盖饭
牛肉灌汤包	牛肉汤包
手撕烤鸭	手撕鸭
鱼香肉丝盖浇饭	鱼香肉丝盖饭
青椒炒肉丝	青椒肉丝
南瓜小米粥	南瓜米粥
炸鸡拌饭	炸鸡饭
排骨米饭	排骨饭
红烧牛肉拉面	红烧牛肉面
鲜肉汤包	鲜肉包
红糖煮鸡蛋	红糖鸡蛋
红糖煮鸡蛋	红糖煮蛋
牛肉蛋炒饭	牛肉炒饭
牛肉蛋炒饭	牛蛋炒饭
芥菜炒饭	芥菜饭
筒骨鲜粉	筒骨粉
鸡蛋灌饼	鸡蛋饼
牛肉米粉	牛肉粉
老鸭汤粉丝	老鸭粉丝
红烧牛肉拌面	红烧牛肉面
韭菜鸡蛋饼	韭菜蛋饼
鸡蛋炒面	鸡蛋面
酸菜黑鱼片	酸菜鱼片
炒细面	炒面
醪糟小汤圆	醪糟汤圆
羊肉粉丝汤	羊粉丝汤
羊肉粉丝汤	羊肉粉汤
凉拌冷面	凉拌面
小牛肉串	小肉串
苏打汽水	苏打水
豆腐汤年糕	豆腐年糕
鸡蛋打卤面	鸡蛋卤面
烧鸭拼叉烧饭	烧鸭叉烧饭
牛肉馅饼	牛肉饼
牛肉粉面	牛肉面
烤黔鱼	烤鱼
西红柿炖牛腩	西红柿牛腩
砂锅刀削面	砂锅削面
鸡蛋煎饼	鸡蛋饼
酸菜青鱼	酸菜鱼
汤河粉	汤粉
蛋炒河粉	蛋炒粉
蛋炒河粉	蛋河粉
酸菜活鱼	酸菜鱼
牛肉拌面	牛肉面
鸡蛋拌面	鸡蛋面
排骨汤米饭	排骨汤饭
排骨汤米饭	排骨米饭
水煮乌鱼	水煮鱼
水煮乌鱼	水乌鱼
麻辣小龙虾	麻辣龙虾
鸡蛋肉丝炒饭	鸡蛋肉炒饭
鸡汤泡饭	鸡汤饭
鸡汤泡饭	鸡泡饭
牛肉小面	牛肉面
羊肉小串	羊肉串
鸡蛋脆饼	鸡蛋饼
萝卜排骨汤	萝卜骨汤
香辣鸡翅	香辣翅
泡椒活田鸡	泡椒田鸡
西红柿鸡蛋炒面	西红柿鸡蛋面
西红柿鸡蛋炒面	西红柿蛋炒面
蟹黄汤包	蟹黄包
蟹黄汤包	蟹汤包
鸡排拌饭	鸡排饭
火龙果雪梨汁	火龙果梨汁
凉拌面	凉面
黄焖鸡米饭	黄焖鸡饭
黄焖鸡米饭	黄鸡米饭
黄焖鸡米饭	黄焖米饭
牛油果雪梨汁	牛油果梨汁
豆腐脑	豆脑
西红柿鸡蛋拌面	西红柿鸡蛋面
鸡蛋炒拉面	鸡蛋炒面
鸡蛋炒拉面	鸡蛋拉面
奶盖贡茶	奶盖茶
土豆丝卷饼	土豆丝饼
土豆丝卷饼	土豆卷饼
蛋炒米粉	蛋炒粉
沙拉烤肉拌饭	沙拉烤肉饭
沙拉烤肉拌饭	沙拉肉拌饭
烤羊肉	烤肉
鲜肉灌汤包	鲜肉汤包
脆皮炸鸡饭	脆皮鸡饭
筒子骨头粉	筒子骨粉
盖浇面	盖面
蜜汁烤鸡	蜜汁鸡
青菜瘦肉粥	青瘦肉粥
羊肉N串	羊肉串
锡纸花甲粉	锡纸甲粉
土豆烧牛肉盖浇饭	土豆牛肉盖浇饭
土豆烧牛肉盖浇饭	土豆烧牛肉盖饭
筒子骨鲜粉	筒子骨粉
奇异果橙汁	奇异果汁
榴莲王披萨	榴莲披萨
烤全鸡	烤鸡
朝鲜大冷面	朝鲜冷面
酸菜乌鱼	酸菜鱼
炒细粉	炒粉
水煮鲜肉片	水煮肉片
洋芋焖饭	洋芋饭
酸菜炒粉	酸菜粉
羊肉大串	羊肉串
猪肉馅包子	猪肉包子
酸辣大白菜	酸辣白菜
部队火锅	部队锅
烧鸭腿饭	烧鸭饭
酸菜鲩鱼	酸菜鱼
肉酱意面	肉酱面
牛肉炒粿	牛肉粿
肉段烧茄子	肉段茄子
肉段烧茄子	肉烧茄子
炒细米粉	炒米粉
炒细米粉	炒细粉
鸡腿汤	鸡汤
鸭板肠	鸭肠
筒子骨	筒骨
牛肉馅包子	牛肉包子
叉烧拼油鸡饭	叉烧油鸡饭
酸菜肉包	酸菜包
酱大骨头	酱骨头
酸菜炒粉条	酸菜粉条
百香果雪梨汁	百香果梨汁
西红柿鸡蛋刀削面	西红柿鸡刀削面
酸菜鱼米饭	酸菜鱼饭
酱香骨头	酱骨头
黑糖珍珠奶茶	黑珍珠奶茶
老干妈鸡蛋炒饭	老干妈蛋炒饭
鸡排饭	鸡饭
苹果橙汁	苹果汁
酱香大骨	酱大骨
酱香大骨	酱香骨
咖喱牛肉炒饭	咖喱牛肉饭
鱼肉粉	鱼粉
鸡排蛋包饭	鸡蛋包饭
炖牛肉	炖肉
鳗鱼炒饭	鳗鱼饭
水煮活草鱼	水煮活鱼
辣牛肉粉丝汤	辣牛肉丝汤
猪肚鸡汤	猪肚汤
红糖生姜茶	红糖姜茶
炒米面	炒面
炒面片	炒片
水煮鸡肉片	水煮肉片
双人套餐	双人餐
红烧鲫鱼	红烧鱼
百香果橙汁	百香果汁
锡纸花甲米粉	锡纸花甲粉
凉拌菜	凉菜
炸大鸡腿	炸鸡腿
绿豆冰糕	绿豆糕
西红柿炒土鸡蛋	西红柿炒鸡蛋
麻辣牛肉米粉	麻辣牛肉粉
鸡中翅	鸡翅
紫菜蛋汤	紫菜汤
土豆烧牛腩	土豆牛腩
脆皮鸡排饭	脆皮鸡饭
螺蛳河粉	螺蛳粉
面线清糊	面线糊
尖椒炒鸡蛋	尖椒鸡蛋
尖椒炒鸡蛋	尖椒炒蛋
烤草鱼	烤鱼
猪肉掉渣烧饼	猪肉掉渣饼
鱼籽拌饭	鱼籽饭
鱼籽拌饭	鱼拌饭
酸菜肉丝面	酸菜肉面
韭菜鸡蛋馅包子	韭菜鸡蛋包子
烤鸭米饭	烤鸭饭
卤牛肉粉	卤肉粉
猪脚肉饭	猪脚饭
铁板炒饭	铁板饭
红豆薏米粥	红豆米粥
蘑菇浓汤	蘑菇汤
牛肉大葱饼	牛肉葱饼
炒细粉干	炒粉干
西红柿鸡蛋盖浇饭	西红柿鸡蛋盖饭
炸酱拌面	炸酱面
牛肉细粉	牛肉粉
青椒炒鸡蛋	青椒鸡蛋
青椒炒鸡蛋	青椒炒蛋
酱脊骨	酱骨
鸡排套餐饭	鸡排套饭
麻辣小面	麻辣面
肉筋串	肉串
羊肉细粉	羊肉粉
板有面	板面
肉块包	肉包
羊肉圆粉	羊肉粉
香辣大虾	香辣虾
鸡公小煲	鸡公煲
小笼肉包	小笼包
酸菜龙鱼	酸菜鱼
辣炒花蚬子	辣炒蚬子
鸡腿汤泡饭	鸡汤泡饭
鸡腿汤泡饭	鸡腿泡饭
椒麻土鸡	椒麻鸡
小龙虾盖浇饭	小龙虾盖饭
炸鸡肉串	炸肉串
炸鸡肉串	炸鸡串
炒油面	炒面
芝士炒年糕	芝士年糕
牛肉面粉	牛肉粉
土豆烧排骨	土豆排骨
鳗鱼拌饭	鳗鱼饭
梭子蟹	梭蟹
水煮肉片米饭	水煮肉片饭
小笼灌汤包	小笼汤包
酸汤龙利鱼	酸汤龙鱼
牛肉炒饭	牛肉饭
牛肉炒饭	牛炒饭
黄焖排骨米饭	黄焖排骨饭
黄焖排骨米饭	黄焖排米饭
牛肉干拌面	牛肉拌面
小牛肉N串	小牛肉串
鸡蛋拉面	鸡蛋面
鱼香肉丝炒面	鱼香肉丝面
鱼香肉丝炒面	鱼香丝炒面
小鲜肉串	小肉串
咖喱鸡肉饭	咖喱鸡饭
咖喱鸡肉饭	咖喱肉饭
牛肉丸汤河粉	牛肉丸河粉
牛肉丸汤河粉	牛肉汤河粉
牛肉丸汤河粉	牛肉丸汤粉
姜汁撞奶	姜撞奶
姜汁撞奶	姜汁奶
蜜汁烤全鸡	蜜汁烤鸡
蜜汁烤全鸡	蜜汁全鸡
卤肉套饭	卤肉饭
牛肉汤粉	牛肉粉
酱香大骨饭	酱大骨饭
鱼片粥	鱼粥
小锅粗米线	小锅米线
芝士焗玉米	芝士玉米
烧鹅拼叉烧饭	烧鹅叉烧饭
鸭血粉丝汤	鸭粉丝汤
鸭血粉丝汤	鸭血粉汤
猪鸡扒包	猪扒包
米酒小汤圆	米酒汤圆
酸辣苕粉	酸辣粉
海鲜炒饭	海鲜饭
珍珠牛奶茶	珍珠奶茶
梅干菜扣肉	梅菜扣肉
梅干菜扣肉	梅干菜肉
梅干菜扣肉	梅干扣肉
车仔捞面	车仔面
小锅细米线	小锅米线
水煮鸡蛋	水煮蛋
酸菜皖鱼	酸菜鱼
酱香牛肉	酱牛肉
西红柿炒鸡蛋饭	西红柿鸡蛋饭
韩式炸全鸡	韩式炸鸡
冷面卷臭豆腐	冷面臭豆腐
冷面卷臭豆腐	冷面卷豆腐
烤羊肉串	烤肉串
烤羊肉串	烤羊串
牛肉炒河粉	牛肉河粉
牛肉炒河粉	牛肉炒粉
柠檬绿茶	柠檬茶
轰炸大鱿鱼	轰炸鱿鱼
牛肉烩面	牛肉面
黄焖小鸡	黄焖鸡
酱棒骨	酱骨
牛腩汤河粉	牛腩河粉
牛腩汤河粉	牛腩汤粉
鸡翅包饭	鸡包饭
鸡翅包饭	鸡翅饭
肥肠小面	肥肠面
酱油蛋炒饭	酱油炒饭
牛腩汤粉	牛腩粉
西红柿鸡蛋盖饭	西红柿鸡蛋饭
黄焖鸡含米饭	黄焖鸡米饭
羊头肉汤	羊肉汤
羊头肉汤	羊头汤
红烧肉盖浇饭	红烧肉盖饭
红烧肉盖浇饭	红烧盖浇饭
炒腊肉	炒肉
肉丝包	肉包
干锅大虾	干锅虾
鱼杂粉	鱼粉
大盘鸡拌面	大盘鸡面
酸菜猪肉水饺	酸菜肉水饺
酸菜猪肉水饺	酸菜猪肉饺
牛肉小串	牛肉串
黄焖香鸡	黄焖鸡
油泼素面	油泼面
红烧牛肉汤面	红烧牛肉面
炒黄年糕	炒年糕
牛肉宽粉	牛肉粉
百香果梨汁	百香果汁
酸菜肉丝炒饭	酸菜肉炒饭
酸菜肉丝炒饭	酸菜肉丝饭
红糖姜水	红糖水
荷叶鸡饭	荷叶饭
辣椒小炒肉	辣椒炒肉
海鲜葱饼	海鲜饼
萝卜干炒腊肉	萝卜干腊肉
萝卜干炒腊肉	萝卜炒腊肉
萝卜干炒腊肉	萝卜干炒肉
回锅肉盖浇饭	回锅肉盖饭
回锅肉盖浇饭	回锅肉浇饭
回锅肉盖浇饭	回锅盖浇饭
韭菜鸡蛋馅饼	韭菜鸡蛋饼
甜酒汤圆冲蛋	甜酒汤圆蛋
火锅宽粉	火锅粉
西红柿炒鸡蛋盖浇饭	西红柿鸡蛋盖浇饭
西红柿炒鸡蛋盖浇饭	西红柿炒鸡蛋盖饭
西红柿炒鸡蛋盖浇饭	西红柿炒蛋盖浇饭
卤肉炒饭	卤肉饭
脆皮烤鸭	脆皮鸭
减肥套餐	减肥餐
珍珠鲜奶茶	珍珠奶茶
糖醋小排骨	糖醋排骨
肉酱意大利面	肉意大利面
牛肉炖柿子	牛肉柿子
烤黑鱼	烤鱼
土豆炖牛肉	土豆牛肉
火腿鸡蛋炒饭	火腿蛋炒饭
餐蛋捞面	餐蛋面
炒年糕	炒糕
绿茶佛饼	绿茶饼
绿茶佛饼	绿佛饼
水煮土鸡蛋	水煮鸡蛋
酱扒茄子	酱茄子
番茄炒蛋盖浇饭	番茄炒蛋盖饭
番茄炒蛋盖浇饭	番茄蛋盖浇饭
鸡蛋卷饼	鸡蛋饼
羊肉粗粉	羊肉粉
扬州蛋炒饭	扬州炒饭
土豆肉丝	土豆丝
卤肉米饭	卤肉饭
