奶茶	奶绿	182674
炸鸡	鸡排,脆皮鸡,鸡排饭,全鸡,鸡腿排	915116,282697,135196,29202,27116
米线	米粉	470562
蛋糕	糕点,蛋黄酥	57810,28607
汉堡	牛肉堡,鲜虾堡,蛋堡,田园堡,香辣堡	39358,26251,24563,4384,2457
披萨	比萨,匹萨,批萨	338257,5638,2961
饺子	水饺,蒸饺,包子,汤饺,鲜饺	803202,123689,74152,27136,9441
凉皮	凉面,面皮,擀面皮,凉拌面,米皮	86532,50733,20288,19897,19253
黄焖鸡	黄焖鸭,瓦香鸡,红焖鸡	6228,5391,2074
沙拉	色拉,沙律	34328,31954
炒饭	炒面,蛋包饭,炒饼,铁板饭,烩饭	327849,46663,42811,23859,20852
酸菜鱼	水煮鱼,黑鱼,酸汤鱼,藤椒鱼,滑鱼	75006,70156,9618,5302,4291
鸡排	鸡腿,鸡翅,鸡块,炸鸡,鸡柳	1024004,490792,355475,352513,284346
水果捞	酸奶捞,鲜果捞,芒果杯	25764,9661,2402
烤鸭	酱鸭,熏鸭,盐水鸭,香酥鸭,脆皮鸭	50966,15008,12162,5541,4600
螺蛳粉	米粉,酸辣粉,粉面,卤粉,干捞粉	470562,165759,103145,19139,5935
煲仔饭	木桶饭,蒸饭,铁板饭,盖码饭,烩饭	111736,26056,23859,23542,20852
酸辣粉	米粉,土豆粉,螺蛳粉,卤粉,卷粉	470562,127115,89126,19139,14121
水饺	饺子,蒸饺,煎饺,汤饺,鲜饺	246305,123689,75128,27136,9441
炒面	炒饭,蛋炒饭,炒粉,炸酱面,炒年糕	875812,199599,149594,80841,66456
面包	排包,牛角包,欧包,奶酪包,奶油包	16458,11716,7598,4291,1572
包子	饺子,煎包,素包,水煎包,蒸包	246305,21136,9072,5471,4119
龙虾	大虾,基围虾,虾尾,皮皮虾,中虾	149219,54943,35743,31838,12846
鸡公煲	蔬菜煲	650
冷面	凉拌面,热面,热汤面,涮面	19897,3747,2988,422
炒菜	手撕包菜,炒鱿鱼,炒腰花,炒口条,荷塘小炒	42110,17124,4237,673,252
花甲	花蛤,花螺,花蟹	55507,15582,13478
煎饼	手抓饼,烧饼,大饼,灌饼,鸡蛋灌饼	171126,85499,31848,9235,6552
肠粉	米粉,河粉,汤粉,粉面,蒸粉	470562,220141,132601,103145,3876
芋圆	薯圆	11668
鸭脖	鸭翅,鸭掌,鸭舌,鸭锁骨,鸭爪	170454,128542,80846,66438,60139
米粉	米线,河粉,酸辣粉,汤粉,肠粉	742504,220141,165759,132601,120040
手抓饼	煎饼,卷饼,煎饼果子,菜煎饼,灌饼	182109,40125,25989,12070,9235
肉夹馍	腊汁肉,白吉馍,菜夹馍,肉加馍,熏肉大饼	9040,3545,2285,2093,1765
烤鱼	鱿鱼须,脆鱼,烤粉,纸包鱼,乌江鱼	68125,7714,4235,2636,2413
炸串	炸肠,炸饼,炸鲜磨,炸石蛋,唐杨串	3911,1439,250,89,59
煎饼果子	手抓饼,烧饼,卷饼,大饼,菜煎饼	171126,85499,40125,31848,12070
盖浇饭	盖饭,盖浇面,木桶饭,盖面,铁板饭	745755,170148,111736,46974,23859
生煎	煎饺,煎包	75128,21136
花甲粉	鱼粉,渔粉,杂粮粉,锡纸粉,五谷粉	32498,27526,2523,1990,1350
牛排	牛肉,猪排,牛扒,烤牛肉	3887119,134778,44464,34567
大盘鸡	大骨头,小盘鸡,鸡背,中盘鸡,小盆鸡	8590,4039,730,262,18
盖饭	盖浇饭,木桶饭,盖面,铁板饭,锅巴饭	683053,111736,46974,23859,11036
烤肉饭	拌饭,烤肠,鸡排饭,桶饭,鸡肉饭	432950,219509,135196,116384,48800
拉面	拌面,刀削面,乌冬面,捞面,海鲜面	396982,163091,49018,36126,17309
凉面	削面,凉皮,刀削面,炸酱面,卤面	168025,165465,163091,80841,57648
锅贴	锅烙	4236
饭团	包饭,蛋包饭,咖喱饭,饭包,卷饭	129812,46663,30649,17591,16064
小笼包	肉包,小馄饨,豆沙包,奶黄包,汤包	104550,76117,28271,24248,21388
臭豆腐	豆筋	18708
水煮鱼	酸菜鱼,黑鱼,草鱼,水煮肉,乌鱼	187196,70156,66503,30954,10031
木桶饭	盖饭,盖浇饭,煲仔饭,铁板饭,盖码饭	745755,683053,285119,23859,23542
牛肉面	排骨面,豚骨面,牛肉汤面,卤肉面,大骨面	91944,68068,19391,14855,4267
烤肉	煎肉饭	1129
土豆粉	酸辣粉,细粉,红薯粉,宽粉,苕粉	165759,68282,60354,59960,23028
冰粉	凉粉,冰粥,冰饭	95554,12039,3277
牛蛙	馋嘴蛙,跳跳蛙,跳水蛙	3436,3094,544
炸酱面	拌面,凉面,卤面,热干面,杂酱面	396982,86532,57648,40519,30580
牛肉	鸡肉,羊肉,牛排,肉酱	857998,451940,415818,161883
干锅	锅仔	58479
胡辣汤	糁汤,糊辣汤,撒汤,糊汤面,鸡血汤	1409,496,314,232,202
拌饭	烤肉饭,鸡排饭,桶饭,焗饭,蛋包饭	139141,135196,116384,116208,46663
蛋包饭	拌饭,鸡排饭,饭团,桶饭,焗饭	432950,135196,135085,116384,116208
热干面	凉面,炸酱面,杂酱面,擀面皮,担担面	86532,80841,30580,20288,18706
面条	宽面,手工面,细面,玉米面,荞麦面	39528,29295,26613,26142,17403
炒粉	炒面,炒米,蛋粉,煮粉,炒糕	327849,147203,18524,5914,3071
排骨	仔排饭,小排	960,8
卤肉饭	鸡饭,牛肉饭,鸡排饭,排骨饭,扒饭	305189,139893,135196,125241,82240
咖喱	咖哩	12472
锅包肉	肉段,木须肉,京酱肉丝,溜肉段,苜蓿肉	22798,18102,7125,6303,2824
烤串	肉串,羊肉串,小肉串,烤肉串,串虾	201638,52237,5066,4713,1514
蛋炒饭	炒面,煎蛋,荷包蛋,炒饼,炒花饭	327849,112057,78485,42811,889
焖面	焖饭,剪刀面,糊汤面	14314,1368,232
鸡蛋仔	钵仔糕,格仔饼	801,586
牛肉汤	牛腩面,牛骨,牛骨汤,牛筋汤,鸭肉汤	22463,19289,4075,1251,709
猪蹄	猪脚,猪耳,猪手,猪头肉,猪耳朵	162872,120134,80586,65479,54828
板面	棒面	17227
刀削面	拉面,面条,凉面,炸酱面,烩面	344370,112956,86532,80841,50790
豆浆	豆腐脑,米浆,甜浆,咸浆	15321,10591,228,92
三明治	三文治	32546
鸡爪	凤爪,鸭爪,鸡翅尖,鸡脚,鸡尖	295112,60139,58943,41988,35663
烧饼	火烧,大饼,油饼,饼子,菜煎饼	49801,31848,27162,13386,12070
烤鸡	香酥鸡,原味鸡,烤牛肉,蜜汁鸡,鸡骨	85413,74662,34567,33060,20054
意面	意大利面,意粉,肉酱面,焗面,意饭	61610,33218,14994,5687,1673
冰淇淋	冰激凌,冰激淋,冰淇凌	52755,7541,3957
米饭	焖饭,白饭	14314,8800
绿豆汤	绿豆沙,绿豆粥,豆腐花,银耳汤,红豆汤	23707,13751,11687,10061,6033
珍珠奶茶	奶绿,烤奶,奶冻,珍奶	182674,60013,35255,16574
豆腐脑	绿豆粥,豆脑,豆沫,绿豆稀饭	13751,817,762,94
意大利面	意面,意粉,肉酱面,焗面,意饭	102691,33218,14994,5687,1673
火鸡面	豚骨面	68068
