草莓爆珠	烧仙草:0.83	
晾衣叉	衣架:0.91,衣撑子:0.82	
烤兔腰	泡椒兔肚:0.64,烤脑花:0.73,腰片:0.51	
腿排饭	烤肉饭:0.92,鸡排:0.86,鸡腿:0.71,烤肉拌饭:0.88,拌饭:0.77,双拼饭:0.74,扒饭:0.82,肉饼饭:0.63,鲁肉饭:0.81,大鸡排:0.79	扣肉饭:0.79,卤肉套餐饭:0.75,牛排:0.67,七公鸡排:0.65,套饭:0.56
阳春面	鸡蛋面:0.73,细面:0.78,肉丝面:0.54,手擀面:0.74,长寿面:0.73,面条:0.72,蛋面:0.71,刀削面:0.57,三鲜面:0.67,焖肉面:0.66	素鸡面:0.64,手工面:0.67,炒米面:0.66,鱼汤面:0.66,辣酱面:0.65,香面:0.64,素面:0.64,青菜面:0.62,荷包蛋面:0.61,雪菜面:0.61,虾仁面:0.63,馄饨面:0.60,六鲜面:0.62,大肉面:0.61,担担面:0.60,面筋面:0.58,大排面:0.59,黄鱼面:0.61,云吞面:0.59,捞面:0.60,汤面:0.57,爆鱼面:0.59,熏鱼面:0.59,双菇面:0.58,素什锦面:0.58,鸡汤面:0.57,炸酱面:0.55,竹升面:0.57,炒面:0.51,大肠面:0.55,鸭腿面:0.55,鳝丝面:0.55,鸡丝面:0.55,招牌面结面:0.53,狮子头面:0.53,笋片面:0.54,雪菜笋丝面:0.53,猪肝面:0.53,爆鱼焖肉面:0.53,鸡腿面:0.53,牛杂面:0.51,肉丸面:0.51
鱼丸面	肥牛面:0.69,三鲜面:0.84,捞面:0.83,汤面:0.83,肥肠面:0.79,鲜虾面:0.78,海鲜面:0.76,肉丝面:0.74,粉面两掺:0.73,鸡蛋面:0.69	排骨面:0.69,刀削面:0.68,小面:0.66,鲨鱼滑:0.67,瘦肉丸:0.66,肉丸:0.65,热干面:0.65,蔬菜面:0.64,拌面:0.62,牛筋面:0.60,牛肉面:0.59,粗面:0.55,纱面汤:0.51
鸡柳棒	鸡排:0.66,小鸡排:0.86,鸡皮:0.88,台香鸡排:0.93,鸡皮串:0.91,大鸡排:0.69,炸鸡胗:0.91,纯肉鸡排:0.90,鸡肉排:0.87,热狗棒:0.83	炸鸡排:0.80,鸡肉串:0.82,鸡叉:0.78,盐酥鸡:0.75,鸡米花:0.72,炸鸡叉:0.76,鸡翅包饭:0.76,鸡叉骨:0.75,炸鸡腿:0.74,鸡骨架:0.72,大鸡:0.62,香酥鸡:0.64,鸡架:0.64,鸡心:0.67,鸡头:0.67,鸡块:0.55,鸡腿排:0.66,素捆鸡:0.63,肉柳:0.65,鸡骨:0.64,蟹棒:0.63,大脸鸡排:0.63,炸鸡架:0.62,鸡肉肠:0.53,鸡肝:0.61,鸡腿:0.52,鸡蛋灌饼:0.59,鸡腿堡:0.52,鸡肉卷:0.53,鸡胗:0.50
猪头骨	猪鞭:0.57,碎骨:0.72,猪大肠:0.75,猪脑:0.72,筒骨:0.66,猪杂:0.69,猪肉皮:0.56,猪心管:0.54,猪肉羹:0.51	
酸菜鸡壳	鸡蛋花:0.68,卤鸡爪:0.51,卤鸡腿:0.59,卤鸡翅:0.51	
手撕鸡饭	烧鸭饭:0.94,叉烧饭:0.94,猪耳饭:0.91,烧鸭腿饭:0.94,猪脚饭:0.90,鸡扒:0.73,叉烧拼烧鸭饭:0.91,烧鸡亦:0.85,猪耳朵饭:0.91,烧鹅饭:0.91	烧肉饭:0.87,扣肉饭:0.83,卤肉饭:0.78,肉卷饭:0.85,鸭杂饭:0.88,卤水鸭肾饭:0.88,白切鸡:0.84,腊肠饭:0.87,鸡腿:0.65,排骨饭:0.85,烧鸭拼白切鸡:0.85,肉饭:0.81,鸡翅:0.59,烧鸡翅拼:0.84,猪脚拼肉卷饭:0.83,烧鸡肶:0.82,烧鸭腿饭十:0.82,烧鸡翅:0.82,牛肉饭:0.81,三宝饭:0.81,肶饭:0.79,腊味饭:0.79,椰子炖老鸡汤:0.79,茄瓜饭:0.77,煲仔饭:0.67,竹筒饭:0.73,茄子饭:0.68,鸡肾:0.53,蒸饭:0.70,三拼饭:0.66,肉片饭:0.69,鸡脚:0.65,白饭:0.68,卤鸡腿:0.64,一碗香饭:0.67,白米饭:0.63,鲜鱿饭:0.66,炖鸡汤:0.58,脆皮鸡:0.64,蒸鸡:0.64,黯然销魂饭:0.63,烧鸡:0.63,炒蛋饭:0.60,烧饭:0.59,鸡排:0.55,田鸡:0.58,鸡爪:0.58,小鸡腿:0.54,花旗参炖竹丝鸡:0.57,香鸡:0.53,十时蔬十米饭:0.56,虫草花炖老鸡:0.56,双拼饭:0.56,配饭:0.55,不配饭:0.54,配米饭:0.54,乌鸡汤:0.54,咸鸡:0.53,腐竹炒肉饭:0.52,花旗参炖乌鸡:0.50
炒泗粉	蛋炒饭:0.59	
低糖	蔗糖:0.54,无糖:0.63	
樟茶鸭	卤鸭头:0.59	
冷面卷	面筋:0.65,香菜卷:0.83,特色炸面筋:0.81,干豆腐卷:0.82,板面:0.55	
草莓干	芒果干:0.96,菠萝干:0.96,凤梨干:0.92,杨梅干:0.91,蔬果干:0.85,菠萝蜜干:0.84,葡萄干:0.82	
炒尖椒	炒面:0.50	
冰桶	冰块:0.55	
乐芙球	妙芙:0.87	
指甲油	卸甲巾:0.63,卸甲水:0.68,洗甲巾:0.56	
热牛奶	奶茶:0.68,热巧克力:0.90,热饮:0.88,热咖啡:0.94,港式奶茶:0.91,红豆奶茶:0.80,热果珍:0.87,热豆浆:0.85,原味奶茶:0.80,草莓奶茶:0.84	椰果奶茶:0.81,香蕉奶昔:0.83,珍珠奶茶:0.74,椰奶:0.68,丝袜奶茶:0.71,草莓奶昔:0.77,芒果奶昔:0.77,芒果奶茶:0.75,果奶:0.72,布丁奶茶:0.71,柠檬奶茶:0.73,牛乳:0.72,鲜奶:0.68,奶昔:0.70,芒椰撞奶:0.72,布丁芋奶露:0.70,红枣奶茶:0.70,杏仁奶:0.70,姜汁撞奶:0.70,燕麦奶茶:0.68,姜奶:0.66,珍珠撞奶:0.64,现打泰奶撞姜:0.63,双皮奶:0.54,牛肉堡:0.53,脏脏奶:0.60,酸奶杯:0.60,豆奶:0.56,牛肉汉堡:0.57,纯奶:0.57,果味奶:0.57,鲜奶茶:0.55,烤奶:0.56,牛气冲天堡:0.54,鲜牛乳:0.54,牛肉意面:0.52,奶盖:0.52,醇奶:0.52,蛋糕奶茶:0.52,奶绿:0.51,奶捞:0.52,嫩牛堡:0.51,奶油包:0.50
猫抓	猫犬:0.67	
腊鸭饭	滑鸡煲仔饭:0.85,煲仔饭:0.80,煲饭:0.82,香菇滑鸡饭:0.81,腊味:0.81	
姜汁糕	桂花糕:0.79	
粿汁	粿条汤:0.89,粿条:0.89,粿汤:0.89,汤粿条:0.91,炒粿:0.89,干粿:0.89,炒粿条:0.83,鲎粿:0.81,煮粿:0.80,牛肉炒粿条:0.77	牛肉粿:0.76,湿炒粿:0.77,粿仔:0.69,白粿:0.61,粿角:0.51,粉粿:0.54,爆汁:0.50
两掺面	刀削面:0.73	
馍王	肉夹馍:0.81,夹馍:0.75	
芬达	美年达:0.98,听美年达:0.91,乐可芬:0.61	
美年达	芬达:0.98,听芬达:0.86,芬达橙:0.84	
