半只鸡蛋包饭	蛋包饭:?	
笋炒肉	炒肉:0.59,笋尖烧肉:0.29,烟笋腊肉:0.73,小笋回锅肉:0.89,烟笋回锅肉饭:0.82,小笋肉丝:0.82,甜笋牛肉丝:0.82,小炒肉饭:0.78,干炒腊肉:0.75	
畅享黄金脆皮套餐	骑手专享餐:?	
水果捞鲜奶	酸奶捞:0.87,五种水果以上和鲜奶:0.64	
花肉串	羊肉串:0.38	
尖椒鸡蛋	尖椒:0.44,鸡蛋:1.0,尖椒炒蛋:0.47,煎鸡蛋:?,韭菜炒鸡蛋:0.61,尖椒炒:0.44,鸡蛋汤:0.45,青椒炒鸡蛋:0.43	
网红至尊宝炒饭	至尊宝:0.11	
元气森林	元气深林:?,元气:?,元気森林燃茶桃香:?,元気深林:?	
猪肉灌汤包	鲜肉玉米包:?	
鸡翅泡饭	鸡翅:0.19	
麻辣干豆腐	麻辣:0.43,麻辣土豆片:0.83,麻辣腐竹:0.64	
美年达6	美年达:?	
生煎 包	生煎包:0.91	
排骨烂面	排骨:0.46	
红烧鸡爪	红烧:0.3,红烧鲫鱼:0.54,红烧鸡块:?,红烧茄子:0.33,西红柿鸡蛋汤:?,西红柿炒鸡蛋:0.15,红烧鸡翅:0.76,红烧肉:0.44,烧鸡:0.55,红烧鸭块:?	
火锅底料	火锅:0.79,火锅蘸料:?,底料:0.96,火锅调料:?,火锅沾料:?,火锅汤料:?,麻辣火锅调料:?,海底捞蘸料:?,火锅丸子:0.47,海鲜火锅调料:?	火锅料:0.92,锅底:0.70,火锅粉:0.52,麻辣香锅调味料:?,火锅面:0.59,海底捞原味蘸料:?,海底捞香辣蘸料:?,麻辣火锅汤底:?,牛肚自煮火锅:0.46,火锅清汤料:0.76,牛腩自煮火锅:0.49,海底捞五香调料:?,海鲜火锅蘸料:?,海底捞麻辣蘸料:?,火锅烧烤蘸料:?,火锅佐料:?,海底捞汤料:?,海底捞鲜香味蘸料:?,锅底料:?,火锅海鲜调料:?,麻辣香锅料:0.75,火锅饺:0.36,麻辣火锅:0.70,麻辣香锅底料:?,小火锅:0.72,海底捞香辣沾料:?,海底捞鲜香调料:?,老火锅:0.75,火锅麻辣味蘸料:?,海底捞麻辣味蘸料:?,锅圈食汇菌汤底料:?,火锅香辣蘸料:?,蔬菜自煮火锅:0.53,火锅底:?
八宝粥聊城店	八宝粥:?	
肉段鸡肉	溜肉段:?,鸡肉:?	
葱花饼鸡蛋	鸡蛋饼:0.71	
孜然夹馍	夹馍:0.86	
蒜台炒肉盖饭	小炒肉十随机蔬菜十米饭:0.76,炒饭:0.66,蛋炒饭:0.64	
韭菜馅饺子	韭菜:0.75,韭菜鸡蛋馅:?	
豆沙糊小汤圆	红豆沙:0.78	
港式拌面	港式拌粉:0.7	
牛肉增肌	牛肉:-0.12	
糖醋排条	糖醋排骨:0.63,糖醋:0.58,糖醋小排:0.69,排条:1.0,糖醋里脊咔吱脆鸡排:?	
鸡蛋肉丝	肉丝:1.0	
诱惑麻辣鱼	诱惑酱香鱼:?	
酸辣鸡	酸辣:?	
重庆酸辣粉花园路	酸辣:0.5	
藤椒肉片	肉片:0.17,金椒肉片:?	
拉面寿司	叉烧拉面:0.2	
炒揪面	炒面片:0.91,炒面:0.49	
生煎虾仁	生煎:0.75	
烧骨粥。	咸骨煲仔粥:?	
土豆回锅肉盖饭	卤肉盖饭:0.78,香肉饭:0.47,土豆肉丝盖浇饭:0.82,豆干肥锅肉盖饭:?,肉丝盖饭:0.78,咖喱牛肉盖饭:0.78,土豆肉丝盖饭:0.78,瘦肉片盖饭:?,盖饭:0.78	
