婴幼儿	婴儿:0.95,尿布:0.91,肤乐宝:0.89,尿垫:0.88,护臀膏:0.88,尿裤:0.84,纸尿裤:0.84,隔尿垫:0.84,花王:0.82,指甲刀:0.82,拉拉裤:0.82,拉拉:0.81,防蚊:0.81,帮宝适:0.80	清洁:0.94,分装瓶:0.91,护理:0.91,抗菌:0.91,分装:0.90,镊子:0.89,贝亲:0.89,灌肠:0.89,洗碗:0.88,塑料:0.88,面膜纸:0.88,成人:0.88,弱碱性:0.87,营养膏:0.87,药器:0.87,印泥油:0.87,牙线棒:0.87,喷剂:0.87,电推剪:0.86,牙线:0.86
广东菜心	菜心:0.98,芥兰:0.97,香芹:0.97,芥蓝:0.97,水芹菜:0.96,空心菜叶:0.96,鸡毛菜:0.96,小油菜:0.96,菜:0.96,空心菜:0.96,小白菜:0.96,牛心菜:0.96,冰草:0.96,油菜心:0.96,西芹:0.96,蒜苗:0.96,香椿苗:0.96,菜梗:0.95,菜花:0.95,水芹:0.95	毛芋头:0.98,毛芋:0.98,笋:0.97,水豆腐:0.97,芋艿:0.97,卤水豆腐:0.97,冬笋:0.97,茭白:0.97,秋葵:0.97,豆芽:0.97,地瓜叶:0.97,绿豆芽:0.96,蒜:0.96,黄豆芽:0.96,四季豆:0.96,豆苗:0.96,莲藕:0.96,杏鲍菇:0.96,春笋:0.96,丝瓜尖:0.96
罐装	白熊:0.92,波克:0.91,菠萝啤:0.91,朝日:0.91,啤酒罐:0.91,泰谷:0.90,扎啤:0.90,喜力:0.90,啤酒瓶:0.90,百威:0.90,啤酒:0.90,珠江:0.90,乐堡:0.89,崂山:0.89,青岛啤酒:0.89,奥丁格:0.89,柏龙:0.89,黑啤:0.89,乐堡啤酒:0.89,教士:0.88	可乐:0.91,可口可乐:0.90,整件:0.90,水:0.90,日加满:0.90,果醋:0.90,苏打水:0.90,黑松沙士:0.90,苏打:0.89,水箱:0.89,冰红茶:0.89,碳酸饮料:0.89,可口可乐罐:0.89,百事:0.89,苹果西打:0.89,整箱:0.89,健怡可乐:0.89,冰泉:0.89,雪碧:0.88,可乐罐:0.88
鸭爪	鸭掌:0.98,鸭翅:0.96,卤鸭翅:0.95,牛蹄筋:0.93,鸭脖:0.92,卤鸭掌:0.92,香辣鸭:0.92,牛肉筋:0.90,辣鸭:0.90,无骨凤爪:0.90,泡椒:0.89,辣鸭脖:0.88,卤鸭脖:0.88,鸭脖子:0.88,二节翅:0.87,猪脆骨:0.87,熏鸭:0.87,鸭肚:0.86,火鸡翅:0.84,五香驴肉:0.84	鸭:0.98,鸡爪:0.97,鸭心:0.97,舌:0.96,卤鸡爪:0.96,卤鸡翅:0.96,卤鸭:0.96,鸭胗:0.96,虎皮凤爪:0.95,脱骨:0.95,鸭珍:0.95,翅尖:0.94,鸭头:0.94,鸭舌:0.94,鸡尖:0.94,鸭舌头:0.94,鸭肫:0.94,鸭脚:0.93,鞋底:0.93,鸭板肠:0.93
大料	桂皮:0.97,花椒粒:0.95,孜然粒:0.94,辣椒丝:0.94,辣椒面:0.94,花椒:0.93,茴香:0.92,辣椒粉:0.92,淀粉:0.91,卤料:0.90,生粉:0.88,面包糠:0.88,芝麻盐:0.88,白胡椒:0.87,嫩肉粉:0.87,花椒面:0.87,辣椒片:0.87,红薯淀粉:0.87,胡椒:0.86,牛羊肉:0.86	辣椒干:0.95,猪肉:0.93,竹荪:0.93,草果:0.93,白木耳:0.92,牛肉片:0.92,白芝麻:0.92,虾滑:0.92,虾皮:0.92,小虾:0.92,青虾:0.91,墨鱼干:0.91,猪软骨:0.91,冻虾仁:0.91,肥牛:0.91,龙口粉丝:0.91,螺片:0.90,干辣椒:0.90,梅干菜:0.90,猪黄喉:0.90
芦蒿	藜蒿:0.97,折耳根:0.96,芥蓝:0.96,香芹:0.96,油菜心:0.96,鸡毛菜:0.95,芹菜:0.95,小白菜:0.95,牛心菜:0.95,广东菜心:0.95,西芹:0.95,菜心:0.95,牛心:0.95,空心菜叶:0.94,菜:0.94,龙须菜:0.94,小油菜:0.94,香椿芽:0.94,油菜:0.94,白菜心:0.94	水笋:0.96,笋:0.96,魔芋豆腐:0.96,豆芽:0.96,豌豆尖:0.95,豆腐丝:0.95,黄豆芽:0.95,莴笋片:0.95,笋片:0.95,绿豆芽:0.95,玉兰片:0.95,水豆腐:0.95,云豆:0.95,木耳:0.95,大豆饼:0.94,卤水豆腐:0.94,小瓜:0.94,冬笋:0.94,干竹笋:0.94,杏鲍菇:0.94
暗疮	排毒养颜:0.92,排毒:0.92,盘龙:0.91,盘龙云海:0.90,百癣夏塔热:0.90,夏塔热:0.90,景天:0.89,祛斑:0.87,珊瑚:0.85,瑞坦:0.83,湿毒:0.83,湿毒清:0.83,他定:0.83,雷他定:0.83,足光:0.83,氯雷他:0.83,氯雷:0.83,氯雷他定:0.83,开瑞坦:0.82,和成:0.81	鼻炎:0.94,补肾:0.94,喉舒宁:0.93,肠炎:0.93,肠炎宁:0.93,黄连:0.93,地蓝:0.93,头痛:0.92,蒲地:0.92,胶囊:0.92,蒲公英:0.92,莲芝消炎:0.92,养血安神:0.92,蒲地蓝:0.92,通便:0.92,喉疾:0.92,喉疾灵:0.92,通窍:0.92,清胃:0.92,藿香:0.92
通窍	鼻炎片:0.99,鼻炎:0.95,口腔溃疡:0.89,溃疡:0.88,香菊:0.88,牙痛:0.87,口炎:0.83,鼻康片:0.83,口炎清:0.82,鼻炎康:0.81,口腔:0.81,石斛:0.80	疏风:0.95,胶囊:0.94,清热:0.94,诺氟沙星:0.94,穿心莲:0.94,穿心:0.94,调经:0.94,清胃:0.93,金鸡:0.93,通便:0.93,感冒片:0.93,银翘:0.93,元胡止痛:0.92,补肾:0.92,盘龙:0.92,可立克:0.92,感冒:0.92,胃康:0.92,暗疮:0.92,三七胶囊:0.92
糖姜片	冬瓜糖:0.91,捆蹄:0.90,糟鱼:0.88,甜酸角:0.87,开口笑:0.86,江米条:0.86,油炒面:0.86,牛肝菌:0.85,枣花酥:0.85,芋丸:0.85,海螃蟹:0.84,鸭酱:0.84,松仁:0.84,特产:0.84,棒棒鱼:0.83,贡菜:0.83,蜜三刀:0.83,虎皮凤爪:0.83,羊肉丸:0.83,糖桂花:0.82	酸枣糕:0.94,手剥笋:0.93,无花果干:0.91,山楂片:0.90,冬瓜条:0.90,云片糕:0.90,梅干:0.90,咸橄榄:0.90,地瓜干:0.89,鱼皮花生:0.89,素火腿:0.89,红瓜子:0.89,鱼干:0.89,华味亨:0.89,甘草杏:0.89,牛皮糖:0.89,豌豆:0.89,椰丝球:0.89,油焖春笋:0.89,山楂卷:0.88
润肤油	强生婴儿:0.89,强生:0.89,热痱粉:0.89,爽身粉:0.89,润肤露:0.88,润肤:0.88,祛痱:0.82	威露士:0.88,免洗:0.87,洗手液:0.86,洗手:0.85,干洗:0.85,力保:0.85,漱口:0.84,清洗液:0.84,蓬松:0.84,漱口水:0.84,护肤:0.83,芦荟:0.83,薰衣草:0.83,按摩油:0.83,清新:0.82,沐浴露:0.82,卸妆水:0.82,雅漾:0.82,头皮:0.82,驱蚊液:0.81
滴露	消毒水:0.89,消毒液:0.86,碧丽珠:0.84,84:0.83,清洁剂:0.81,玻璃水:0.80	威露士:0.94,洁厕精:0.87,清洗液:0.87,弱碱性:0.87,清纯:0.86,衣领:0.86,衣领净:0.86,柔顺剂:0.85,木地板:0.85,洁厕灵:0.85,漂白剂:0.85,柔顺:0.85,威猛先生:0.85,金纺:0.85,威猛:0.85,公鸡头:0.85,椰子油:0.85,润肤乳:0.84,染发膏:0.84,洗衣液:0.84
伯爵		红茶包:0.93,普洱:0.91,立顿:0.89,乐豆:0.88,普洱茶:0.87,椰奶:0.86,咖啡饮料:0.85,炼乳:0.85,meco:0.85,鸳鸯咖啡:0.85,烧酒:0.85,朗姆酒:0.85,黑咖啡:0.84,姜母茶:0.84,力娇酒:0.84,柚子茶:0.83,红茶叶:0.83,白葡:0.83,白葡萄:0.83,阿华田:0.83
有友	泡凤爪:0.99,凤爪:0.98,猪皮:0.97,爪:0.96,辣媳妇:0.94,泡爪:0.94,乖媳妇:0.93,脆肚:0.93,泡椒:0.88,酱鸭翅:0.85,笨鸡:0.85,酱鸭脖:0.82,流浪汉:0.82,麻辣牛肉:0.81,牛肉干:0.81,肉干:0.80	笋尖:0.94,泡椒笋:0.91,鲜笋:0.91,牛皮筋:0.88,怪味豆:0.87,盐津铺子:0.87,片片鱼:0.86,怡冠园:0.86,臭干子:0.85,素牛筋:0.85,好巴食:0.85,鱼泉榨菜:0.84,干子:0.84,辣豆干:0.84,豆筋:0.84,蛋黄锅巴:0.83,脆笋:0.83,牛肝菌:0.83,豆干:0.83,贤哥:0.83
鲜百合	粘玉米:0.90,熟地:0.89,芦笋:0.89,白玉米:0.89,水笋:0.89,红薯:0.88,淮山:0.88,山药:0.88,铁棍:0.87,樱桃萝卜:0.87,铁棍山药:0.87,扁尖:0.87,菜头:0.87,薯叶:0.87,红薯叶:0.86,玉兰片:0.86,糯玉米:0.86,白地瓜:0.85,板栗:0.85,水萝卜:0.85	白芸豆:0.93,粽子叶:0.93,草果:0.93,竹笙:0.92,白黄瓜:0.92,干香菇:0.92,桂圆干:0.92,秀珍菇:0.91,北芪:0.91,干莲子:0.91,散装:0.91,螺片:0.91,白蘑菇:0.91,乌鸡蛋:0.90,桂圆:0.90,蟹味菇:0.90,干米线:0.90,竹荪:0.90,虫草花:0.90,香菇干:0.90
特比萘芬	盐酸特比:1.00,盐酸特:1.00,盐酸特比萘:1.00,唯达:0.93,唯达宁:0.93,达克宁:0.93,硝酸:0.91,盐酸:0.91,奈德:0.91,乳膏:0.90,咪康唑:0.89,硝酸咪康唑:0.89,硝酸咪:0.89,硝酸咪康:0.89,兰美:0.88,兰美抒:0.88,洛韦:0.88,昔洛韦:0.88,阿昔洛:0.88,阿昔:0.88	喷雾剂:0.93,氧氟沙星:0.88,水杨酸:0.88,乐敦:0.87,乐敦康:0.86,滴鼻:0.86,滴鼻液:0.85,氯化钠:0.85,滴眼:0.85,滴眼液:0.84,眼液:0.84,穿心莲内:0.84,克霉唑:0.84,聚乙烯:0.84,乐敦清:0.84,克霉:0.84,润洁:0.83,聚乙烯醇:0.83,布洛:0.83,康恩:0.83
棉花棒	棉花:0.91,鞋套:0.91,棉签:0.90,棉棒:0.90,棉签棒:0.89,一次:0.88,一次性:0.87,台布:0.86,手套:0.85,桌布:0.84,经期:0.83,保鲜膜:0.83,雨鞋:0.82,塑料碗:0.81,塑料:0.81,牙签:0.81,雨鞋套:0.81,保鲜:0.80	衣服刷:0.93,掏耳朵:0.92,床垫:0.91,棉拖把:0.90,拖把:0.89,粘尘器:0.89,洗鼻器:0.88,无菌:0.88,刷子:0.88,棉片:0.87,盐水:0.87,抗菌:0.87,鞋刷子:0.87,碘酒:0.87,可贴:0.86,洗鼻:0.86,乌龟:0.86,医用:0.86,口贴:0.86,尿布:0.86
灵芝	红景天:0.90,荷叶:0.89,人参:0.87,甘草:0.84,太子参:0.83,三七花:0.83,洋参片:0.82,决明子:0.82,护肝:0.81	西洋参:0.93,洋参:0.92,景天:0.90,贝母:0.90,党参:0.89,当归:0.89,黄芪:0.89,丹参:0.89,妇炎:0.88,花旗参:0.87,咽炎片:0.86,钙片:0.86,洁白:0.86,咽炎:0.86,生地:0.85,麦冬:0.85,治咳川贝:0.85,葛根:0.85,补肾固齿:0.85,雷允上:0.85
拉拉裤	拉拉:0.99,帮宝适:0.99,尿裤:0.98,纸尿裤:0.97,尿片:0.96,尿垫:0.95,隔尿垫:0.95,纸尿片:0.95,尿不湿:0.94,花王:0.93,尿布:0.91,婴儿:0.87,婴幼儿:0.82	抹布:0.95,洗碗巾:0.94,洗碗布:0.93,裤型:0.93,纸内裤:0.92,浴花:0.92,洗碗:0.92,枕套:0.92,妙洁:0.92,钢丝球:0.91,钢丝:0.91,雨衣:0.91,洗脸巾:0.91,床单:0.91,棉袜:0.91,垃圾:0.91,沐浴花:0.91,垃圾袋:0.91,一次性杯:0.91,鞋套:0.91
珍视	眼液:0.92,滴眼液:0.92,滴眼:0.92,乐敦莹:0.90,润洁:0.88,萘敏维:0.88,滴鼻液:0.87,聚乙烯:0.87,聚乙烯醇:0.87,滴鼻:0.86,乐敦康:0.85,喷雾剂:0.85,赖氨酸:0.84,色甘酸:0.83,色甘酸钠:0.83,氯化钠:0.81	小乐敦:0.90,乐敦:0.89,乐敦清:0.89,亮甲:0.87,刮痧油:0.82,发用洗剂:0.82,聚维酮碘:0.80,聚维:0.80,硫酸庆大霉素:0.80,结膜炎:0.79,盐酸:0.79,唯达:0.79,唯达宁:0.79,新乐敦:0.79,拔罐:0.78,眼贴:0.78,刮痧:0.78,酮康:0.78,康王:0.78,酮康唑:0.77
